Category,Commodity,Unit,Series,Series Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Metal,Gold,Troy Ounce,"Gold, $/toz, real 2010$",KGOLD,184.2473971,180.628741,177.2193643,179.8088659,177.3777227,175.7878182,169.5855462,167.2466132,187.9054195,188.2465726,154.8234999,167.129853,218.375378,315.1069849,423.0745328,385.2110275,294.9615605,322.9414707,363.5203839,517.1578156,931.9588773,704.077077,593.1701157,685.1035814,597.642306,532.6189206,535.6016225,593.4749127,545.5388017,478.9861186,463.8390419,442.1598013,411.9371726,416.7737757,458.6313885,417.9329987,429.9675714,385.3440666,357.9864969,345.9033778,350.7201759,353.878578,409.5668123,456.5667373,481.2777578,507.2071291,672.0356633,730.0873252,847.6846772,1008.650896,1224.66425,1413.976644,1515.10635,1286.39718,1171.567775,1188.934839,1332.183181
Agricultural,Groundnut oil,Metric Ton,"Groundnut oil, $/mt, real 2010$",KGRNUT_OIL,1708.219418,1692.273524,1380.027261,1375.870044,1593.75063,1621.319778,1430.374189,1354.019648,1306.934288,1519.069655,1630.636424,1804.715699,1599.292768,1768.301908,2861.023429,2051.295818,1684.549362,1864.248481,2030.121987,1498.629337,1316.609417,1596.889001,923.252167,1152.702895,1685.550447,1516.087976,829.4406554,664.2941898,736.8744249,972.8990217,1165.645575,1092.430829,730.936813,856.1874292,1221.486984,1078.02031,995.0800868,1175.967886,1106.737709,977.3583582,897.0211225,888.322975,907.8459773,1561.414679,1365.46349,1209.105153,1078.917657,1416.836821,2072.387358,1227.079411,1403.875,1791.48727,2210.395318,1615.938163,1215.467634,1369.481361,1602.404507
Metal,Iron ore,Dry Metric Ton,"Iron ore, $/dmt, real 2010$",KIRON_ORE_SPOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.10029769,128.877573,151.6944575,82.91252214,145.8631854,151.1590849,116.6115204,123.3672702,89.75063192,57.21466572,62.3158296
Metal,Iron ore,Dry Metric Ton Unit,"Iron ore, $/dmtu, real 2010$",KIRON_ORE,59.6570818,56.46890003,55.38419533,56.46890003,51.74780285,53.36535084,45.95657273,42.39785388,42.33604441,45.08753609,42.38710612,42.3106639,38.78696659,33.44492457,35.54734685,41.38474361,53.69131845,50.41286422,40.35161385,39.62992057,43.0667348,43.01760925,51.29909462,47.0215224,43.35456805,44.49834789,38.25162291,33.63010105,30.33209801,34.9477635,39.31181031,42.43571871,39.66772812,33.69916651,31.61355216,30.87466123,33.27099761,35.08991186,37.7262373,34.23442713,36.18669517,39.21549274,38.72742112,40.12913179,44.57456182,74.11265159,77.10029769,128.877573,151.6944575,82.91252214,145.8631854,151.1590849,116.6115204,123.3672702,89.75063192,57.21466572,62.3158296
Metal,Lead,Metric Ton,"Lead, $/mt, real 2010$",KLEAD,1038.775019,906.8587643,781.1301057,895.7562885,1404.282417,1587.571219,1258.254273,1089.495641,1160.942518,1328.302946,1304.817853,1038.823052,1132.663281,1391.164247,1573.483737,984.8014061,1054.960361,1351.047272,1245.19374,2037.56815,1388.668389,1112.921754,861.1934161,689.6625071,733.8085318,654.8399884,591.5090545,793.3535796,819.1226756,845.7220634,980.4264692,680.7498278,648.7850679,470.7437999,654.2066524,686.4118218,858.7521741,726.4426446,643.3439021,623.6605165,570.5678609,621.8043179,598.1323126,646.8758478,1042.674272,1113.24975,1434.201297,2703.545149,2033.04876,1782.323169,2148.44925,2163.311736,1873.682807,1950.190163,1939.803337,1831.36697,1990.992045
Agricultural,Logs,Cubic Meter,"Logs, Cameroon, $/cubicmeter, real 2010$",KLOGS_CMR,,,,,,,,,,,185.1851313,181.9809097,197.0513075,432.1291464,319.9526891,302.7784392,336.3722502,347.0967239,359.8363787,356.7114446,385.8860185,325.8710243,277.674107,260.6748892,291.2009452,291.322329,322.8579239,344.1646498,338.6709808,343.7785837,415.4492273,385.8352153,397.0108417,359.488668,394.4348975,369.3518244,315.3203347,331.4095725,348.5447961,334.1217219,346.1868884,347.4318975,311.8617884,351.0330312,389.6495901,381.2453116,354.1554647,399.5836265,512.3666546,436.9302149,428.5608021,436.8501301,409.6389358,422.4570528,430.6116618,398.0437739,413.2115739
Agricultural,Logs,Cubic Meter,"Logs, Malaysia, $/cubicmeter, real 2010$",KLOGS_MYS,166.8517682,169.4067001,183.0545747,181.8372028,152.8935327,175.3123101,177.7679402,188.2022869,193.3281663,178.196573,185.7953793,177.2091843,154.3812637,220.2546319,216.9592552,161.4961873,217.4533845,202.3656027,183.1499241,286.7547976,299.7551042,236.701498,231.1681893,223.2806182,259.8952997,203.9521573,201.8576693,268.2067022,250.7214191,239.33295,214.3310138,233.7677858,251.0791422,451.5705689,367.3109793,278.0895315,279.5882074,277.2888632,197.668243,232.1712091,238.7475556,207.7030356,215.9087861,235.07726,231.9942088,231.5966489,266.250844,280.8146884,284.2418402,297.736385,278.1719868,351.8807789,327.167217,278.3706447,261.0905716,252.0083012,292.6532646
Agricultural,Maize,Metric Ton,"Maize, $/mt, real 2010$",KMAIZE,232.4641103,230.3678326,244.7434802,275.5335583,276.0809293,278.6602308,281.419643,258.8972787,231.5368085,239.5809929,251.5657518,239.2006555,209.3388533,316.7123197,348.6345451,286.1886591,265.5538266,208.4504165,189.5161985,194.8147872,192.0486603,200.2804837,172.46361,220.5417496,225.3815819,188.0345599,127.5418259,100.6200217,133.4248244,140.0474381,132.1794102,131.1405323,124.9303739,118.2656552,128.4487168,134.342309,183.8878796,136.276493,124.1152641,111.9433092,111.2802675,117.0599217,131.1669521,132.3445903,131.4931693,112.5050474,135.5011982,171.5030956,216.9681577,171.5799465,185.9142083,262.829225,270.8168032,236.4055808,178.553602,173.8850089,169.7626734
Agricultural,Meat,Kilograms,"Meat, beef, $/kg, real 2010$",KBEEF,3.847585754,3.494461559,3.592301407,3.414481031,4.249400874,4.412798129,4.935262828,4.982146607,5.238703329,5.603256603,5.618409481,5.512503349,5.558088456,6.510509457,4.203580035,3.174644415,3.736178454,3.293378123,4.022510354,4.863546869,4.231497063,3.789283728,3.771864584,3.956117954,3.768697375,3.609026554,3.047529812,3.171520133,3.141899819,3.22611725,3.100472079,3.251482309,2.941613709,3.032278187,2.786160754,2.074656477,1.979892374,2.159435892,2.100083735,2.287279132,2.428503483,2.780647881,2.781080722,2.486540945,2.95504946,2.983830358,2.83260714,2.727627647,3.051511819,2.733193299,3.351451076,3.64223003,3.759182075,3.712513655,4.580687677,4.531288242,4.190206729
Agricultural,Meat,Kilograms,"Meat, chicken, $/kg, real 2010$",KCHICKEN,1.567854102,1.600188511,1.607509302,1.680892565,1.706219448,1.753072438,1.755353594,1.780872165,1.853226247,1.835976825,1.809085284,1.802471641,1.774602473,1.712967914,1.484865029,1.38897269,1.442232627,1.424904342,1.307538966,1.248861153,1.160795877,1.185243441,1.199271085,1.251690331,1.448691046,1.403967163,1.348155358,1.20741392,1.251854378,1.380751669,1.308903034,1.289291952,1.26726525,1.396383126,1.455661556,1.330718203,1.523518313,1.564881308,1.694450988,1.640374258,1.647376472,1.831836189,1.837576376,1.833448399,1.963141868,1.857802795,1.697104718,1.806135079,1.814042884,1.957025715,1.892291301,1.735767631,1.886737159,2.086383452,2.247305865,2.589559387,2.622054835
